Show,Season,Episode
Paw Patrol,Season 5,Pups and the Werepuppy / Pups Save a Sleepwalking Mayor
Paw Patrol,Season 5,Ultimate Rescue: Pups Save a Swamp Monster / Ultimate Rescue: Pups and the Hidden Golden Bones
Paw Patrol,Season 5,Pups Save a Cuckoo Clock / Pups Save Ms. Marjorie's House
Paw Patrol,Season 5,Pups Save Thanksgiving / Pups Save a Windy Bay
Paw Patrol,Season 5,Pups Save a Frozen Camp Out / Pups Save the Fizzy Pickles
Paw Patrol,Season 5,Pups Save a Pluck-O-Matic / Pups Save a Mascot
Paw Patrol,Season 5,Ultimate Rescue: Pups Save a Runaway Stargazer
Paw Patrol,Season 5,Pups Save Ace's Birthday Surprise / Pups Save a Tower of Pizza
Paw Patrol,Season 6,Pups Save the Jungle Penguins / Pups Save a Freighter
Paw Patrol,Season 6,Ultimate Rescue: Pups Stop a Meltdown / Ultimate Rescue: Pups and the Mystery of the Missing Cell Phones
Paw Patrol,Season 6,Pups Save a Melon Festival / Pups Save a Cow
Paw Patrol,Season 6,Pups Save the Honey / Pups Save Mayor Goodway's Purse
Paw Patrol,Season 6,Ultimate Rescue: Pups Save the Mountain Climbers / Ultimate Rescue: Pups Save Captain Gordy
Paw Patrol,Season 6,Pups and the Stinky Bubble Trouble / Pups Save the Baby Ostriches
Paw Patrol,Season 6,Pups Save Gustavo's Guitar / Pups Save the Yoga Goats
Paw Patrol,Season 6,Pups Save Bedtime / Pups Save Chickaletta's Egg
Paw Patrol,Season 6,"Mighty Pups, Super Paws: When Super Kitties Attack"
Paw Patrol,Season 6,Pups Save a Manatee / Pups Save Breakfast
Paw Patrol,Season 6,Pups Save the Land Pirates / Pups Save the Birdwatching Turbots
Paw Patrol,Season 6,"Mighty Pups, Super Paws: Pups Meet the Mighty Twins"
Paw Patrol,Season 6,Pups Save a Freaky Pup-Day / Pups Save a Runaway Mayor
Paw Patrol,Season 6,Pups Save a Bat Family / Pups Save a Mud Monster
Paw Patrol,Season 6,"Mighty Pups, Super Paws: Pups Save a Giant Chicken / Mighty Pups, Super Paws: Pups Stop Harold's Deep Freeze"
Paw Patrol,Season 6,Pups Save the Balloon Pups / Pups Save the Spider Spies
Paw Patrol,Season 6,Pups Save the Bears / Pups Save a Farmerless Farm
Paw Patrol,Season 6,"Mighty Pups, Super Paws: Pups and the Big Twin Trick / Mighty Pups, Super Paws: Pups Save a Mega Mayor"
Paw Patrol,Season 6,Pups Save a White Wolf / Pups Save a Wrong Way Explorer
Paw Patrol,Season 6,Pups Save the Squirrels / Pups Save a Roo
Paw Patrol,Season 6,"Mighty Pups, Charged Up: Pups vs. the Copycat"
Paw Patrol,Season 6,Pups Save a Humsquatch / Pups Stop a Far Flung Flying Disc
Paw Patrol,Season 6,Pups Rescue a Rescuer / Pups Save the Phantom of the Frog Pond
Paw Patrol,Season 6,"Mighty Pups, Charged Up: Pups Stop a Big Bad Bot / Mighty Pups, Charged Up: Pups vs. the Dome"
Paw Patrol,Season 6,Ultimate Rescue: Pups Save the Opening Ceremonies / Ultimate Rescue: Pups Save the Adventure Bay Games
Paw Patrol,Season 6,Pups Save a Tour Bus / Pups Save Midnight at the Museum
Paw Patrol,Season 7,"Mighty Pups, Charged Up: Pups Stop a Humdinger Horde / Mighty Pups, Charged Up: Pups Save a Mighty Lighthouse"
Paw Patrol,Season 7,Pups Save Election Day / Pups Save the Bubble Monkeys
Paw Patrol,Season 7,Pups Save an Antarctic Martian / Pups Save the Maze Explorers
Paw Patrol,Season 7,"Mighty Pups, Charged Up: Pups vs. Three Super Baddies"
Paw Patrol,Season 7,Pups Save a Waiter Bot / Pups Stop a Pie-Clone
Paw Patrol,Season 7,Dino Rescue: Pups and the Lost Dino Eggs
Paw Patrol,Season 7,Dino Rescue: Pups Save a Pterodactyl / Dino Rescue: Pups and the Big Rumble
Paw Patrol,Season 7,Dino Rescue: Pups Save a Hum-Dino
Paw Patrol,Season 7,Dino Rescue: Pups Save a Sore Dino / Dino Rescue: Pups Save the Triceratops Tag-Alongs
Paw Patrol,Season 7,"Pups Save the Big Bad Bird Crew / Pups Save a Soapbox Derby"""
Paw Patrol,Season 7,Pups Save the Skydivers / Pups Save the Cupcakes
Paw Patrol,Season 7,Ultimate Rescue: Pups Save the Pupmobiles
Paw Patrol,Season 7,Pups Save a Lost Gold Miner / Pups Save Uncle Otis from His Cabin
Paw Patrol,Season 7,Pups Save a Rocket Roller Skater / Pups Save Ryder's Surprise
Paw Patrol,Season 7,Pups Save the Marooned Mayors / Pups Save the Game Show
